Congress.Proposed.into.Laws
"117 (2021-2022) [3,255] "
"116 (2019-2020) [4,175] "
"115 (2017-2018) [2,204] "
"114 (2015-2016) [1,983] "
"113 (2013-2014) [1,794] "
"112 (2011-2012) [1,417] "
"111 (2009-2010) [1,991] "
"110 (2007-2008) [1,607] "
"109 (2005-2006) [1,429] "
"108 (2003-2004) [1,351] "
"107 (2001-2002) [1,212] "
"106 (1999-2000) [1,291] "
105 (1997-1998) [934] 
104 (1995-1996) [767] 
103 (1993-1994) [811] 
102 (1991-1992) [939] 
101 (1989-1990) [786] 
100 (1987-1988) [739] 
99 (1985-1986) [644] 
98 (1983-1984) [515] 
97 (1981-1982) [433] 
96 (1979-1980) [620] 
95 (1977-1978) [926] 
"94 (1975-1976) [1,272] "
93 (1973-1974) [1192]
